# DenseNet                                MobileNet               Xception
# tr_loss tr_acc val_loss val_acc tr_loss tr_acc val_loss val_acc tr_loss tr_acc val_loss val_acc
 1 0.3224  0.9223  1.3245  0.7653  1.5100  0.5407  0.6633  0.7769  0.2274  0.9541  1.0763  0.8747
 2 0.1229  0.9733  1.6088  0.7493  0.6770  0.7738  0.6354  0.7813  0.0684  0.9866  1.4884  0.8526
 3 0.2698  0.9471  2.1379  0.6996  0.5572  0.8206  0.6876  0.7824  0.1331  0.9793  1.6761  0.8360
 4 0.1483  0.9747  1.3898  0.8156  0.4374  0.8554  0.5608  0.8283  0.2211  0.9771  1.6721  0.8443
 5 0.2364  0.9604  2.1496  0.7151  0.4297  0.8613  0.9133  0.7703  0.3187  0.9673  1.4616  0.8371
 6 0.2423  0.9614  1.4734  0.7775  0.3806  0.8813  0.7877  0.7808  0.3613  0.9671  1.1911  0.8719
 7 0.1367  0.9780  2.9281  0.6494  0.3153  0.8973  0.7505  0.7918  0.2220  0.9798  1.4179  0.8636
 8 0.1673  0.9743  1.6401  0.7482  0.2732  0.9104  0.8293  0.8051  0.6512  0.9474  2.8786  0.7753
 9 0.1925  0.9701  1.8927  0.7140  0.2289  0.9262  0.6118  0.8415  0.2574  0.9742  1.4764  0.8636
10 0.2326  0.9618  3.2379  0.5792  0.2549  0.9176  0.5460  0.8603  0.1657  0.9815  1.3867  0.8592
11 0.1800  0.9734  1.5553  0.7819  0.1993  0.9368  0.9140  0.8023  0.1887  0.9743  1.4819  0.8597
12 0.1786  0.9727  2.1310  0.7311  0.1999  0.9400  0.8408  0.8023  0.0972  0.9865  1.4910  0.8321
13 0.1650  0.9728  2.1933  0.7388  0.1973  0.9413  0.9208  0.8001  0.0779  0.9880  1.4846  0.8537
14 0.1515  0.9798  1.8798  0.7405  0.2012  0.9389  0.6129  0.8526  0.1165  0.9866  1.4273  0.8404
15 0.1141  0.9825  1.9960  0.7272  0.1541  0.9529  0.7646  0.8415  0.1960  0.9728  1.2798  0.8564
16 0.1265  0.9794  2.0611  0.7167  0.2299  0.9326  0.5749  0.8620  0.1279  0.9884  1.6090  0.8476
17 0.1246  0.9812  3.4431  0.6411  0.1660  0.9513  0.8672  0.8183  0.5010  0.9516  1.3273  0.8448
18 0.2408  0.9597  7.8183  0.3705  0.1130  0.9659  0.8752  0.8316  0.1511  0.9784  1.4260  0.8454
19 0.2282  0.9552  2.2956  0.6930  0.1617  0.9546  0.9829  0.8233  0.0817  0.9901  1.4014  0.8531
20 0.1426  0.9779  2.0629  0.7532  0.1914  0.9466  0.9537  0.8139  0.0638  0.9917  1.4057  0.8316
